instance	seed	run	best	optimum	gap_bp	iters	ms
kroA100	1	1	22774	21282	701	500	95
kroA100	1	2	22774	21282	701	500	93
kroA100	2	1	22546	21282	593	500	92
kroA100	2	2	22546	21282	593	500	92
kroA100	3	1	22418	21282	533	500	92
kroA100	3	2	22418	21282	533	500	92
kroA100	4	1	22159	21282	412	500	93
kroA100	4	2	22159	21282	412	500	93
kroA100	5	1	22216	21282	438	500	93
kroA100	5	2	22216	21282	438	500	92
pcb442	1	1	61721	50778	2155	500	547
pcb442	1	2	61721	50778	2155	500	553
pcb442	2	1	61835	50778	2177	500	548
pcb442	2	2	61835	50778	2177	500	554
pcb442	3	1	61365	50778	2084	500	551
pcb442	3	2	61365	50778	2084	500	549
pcb442	4	1	61448	50778	2101	500	556
pcb442	4	2	61448	50778	2101	500	551
pcb442	5	1	61268	50778	2065	500	556
pcb442	5	2	61268	50778	2065	500	551
