unit	seconds	llm_calls	tok_in	tok_out	searches	fetches	steps	outcome
mirageos-tls	14	5	16992	265	1	2	5	answered
mirageos-stack	30	7	20932	612	2	2	7	answered
unikraft-tls	6	4	7699	153	1	1	4	answered
unikraft-stack	14	6	14827	463	3	1	6	answered
nanos-stack	18	7	23865	529	2	3	7	answered
nanos-tls	19	7	16477	394	4	1	7	answered
osv-stack	7	4	7352	216	1	1	4	answered
osv-tls	15	7	21463	340	3	1	7	answered
includeos-stack	8	4	6590	160	1	1	4	answered
includeos-tls	10	5	10876	370	2	1	5	answered
hermitos-tls	16	8	19193	250	5	1	8	answered
hermitos-stack	17	8	20232	286	5	1	8	answered
torokernel-tls	49	5	11356	209	2	1	5	answered
torokernel-stack	65	4	7999	393	1	1	4	answered
solo5-tls	28	7	13692	499	5	0	7	answered
solo5-stack	43	10	48955	435	4	4	10	answered
baremetal-stack	14	6	15260	227	3	1	6	answered
baremetal-tls	16	7	17791	311	4	1	7	answered
rumprun-stack	7	4	6853	222	1	1	4	answered
rumprun-tls	11	6	16313	362	3	1	6	answered
gramine-tls	9	4	6760	267	1	1	4	answered
gramine-stack	14	5	11684	363	2	1	5	answered
ling-tls	10	5	13856	440	2	1	5	answered
ling-stack	31	11	82314	779	2	5	11	answered
clickos-tls	33	11	34523	423	8	1	11	answered
clickos-stack	44	6	13483	565	3	1	6	answered
mini-os-stack	35	12	46232	446	8	2	12	answered
mini-os-tls	41	11	37166	631	7	2	11	answered
halvm-stack	13	6	21773	434	2	2	6	answered
halvm-tls	14	7	18191	343	4	1	7	answered
runtime-js-tls	17	6	16642	379	2	2	6	answered
runtime-js-stack	45	12	72641	417	6	5	12	no_answer
unik-tls	11	5	12317	298	2	1	5	answered
unik-stack	15	6	16989	490	2	2	6	answered
drawbridge-stack	6	4	7026	199	1	1	4	answered
drawbridge-tls	10	5	9281	525	2	1	5	answered
clive-tls	12	6	15342	267	2	2	6	answered
clive-stack	19	9	21718	376	4	1	9	answered
unikernel-linux-stack	7	4	9367	269	1	1	4	answered
unikernel-linux-tls	13	5	12965	328	1	2	5	answered
mirageos-use	14	5	14234	784	1	2	5	answered
mirageos-rel	26	9	58822	346	2	5	9	answered
unikraft-use	7	4	8251	490	1	1	4	answered
unikraft-rel	11	5	17493	258	1	2	5	answered
nanos-rel	11	6	29722	286	1	3	6	answered
nanos-use	12	4	8120	349	1	1	4	answered
osv-rel	10	6	27484	310	1	3	6	answered
osv-use	74	9	32513	646	4	3	9	answered
includeos-use	11	5	10744	504	2	1	5	answered
includeos-rel	12	6	29541	269	1	3	6	answered
hermitos-use	8	4	8659	380	1	1	4	answered
hermitos-rel	19	7	23736	389	2	3	7	answered
torokernel-use	7	4	8601	349	1	1	4	answered
torokernel-rel	12	6	30764	286	1	3	6	answered
solo5-use	9	5	13086	410	2	1	5	answered
solo5-rel	10	5	11375	234	2	1	5	answered
baremetal-use	16	6	12895	389	3	1	6	answered
baremetal-rel	16	7	34004	306	1	4	7	answered
rumprun-use	11	5	10826	474	2	1	5	answered
rumprun-rel	11	6	16268	284	2	2	6	answered
gramine-rel	13	6	17471	299	2	2	6	answered
gramine-use	13	5	11025	641	2	1	5	answered
ling-use	6	3	4400	157	1	1	3	answered
ling-rel	22	9	46308	457	2	5	9	answered
clickos-use	10	4	8115	695	1	1	4	answered
clickos-rel	12	6	37002	473	1	4	6	answered
mini-os-use	9	5	12815	368	2	1	5	answered
mini-os-rel	19	9	36208	471	3	4	9	answered
halvm-use	9	4	6604	420	1	1	4	answered
halvm-rel	15	7	22070	494	2	2	7	answered
runtime-js-rel	8	5	18098	243	1	2	5	answered
runtime-js-use	10	5	11344	503	1	2	5	answered
unik-rel	10	6	27216	270	1	3	6	answered
unik-use	14	5	17480	544	1	2	5	answered
drawbridge-rel	8	5	9078	254	2	1	5	answered
drawbridge-use	12	4	7356	703	1	1	4	answered
clive-use	17	8	22285	466	3	2	8	answered
clive-rel	24	11	47386	448	5	4	11	answered
unikernel-linux-use	15	4	7783	419	1	1	4	answered
unikernel-linux-rel	23	12	25842	529	4	0	12	answered
