T	M	onsager	chi
1.2	0.997	0.997	0.01
1.25	0.9961	0.996	0.01
1.3	0.9948	0.9948	0.01
1.35	0.9932	0.9932	0.01
1.4	0.9913	0.9914	0.02
1.45	0.9891	0.9892	0.02
1.5	0.9865	0.9865	0.03
1.55	0.9834	0.9833	0.04
1.6	0.9796	0.9796	0.04
1.65	0.9753	0.9752	0.05
1.7	0.9704	0.9701	0.07
1.75	0.9637	0.964	0.09
1.8	0.9567	0.9569	0.12
1.85	0.9478	0.9484	0.15
1.9	0.9387	0.9383	0.19
1.95	0.9257	0.9262	0.32
2	0.9116	0.9113	0.34
2.05	0.8899	0.8928	0.56
2.1	0.8735	0.8687	0.75
2.15	0.837	0.8357	1.79
2.2	0.7873	0.7848	3.3
2.25	0.5877	0.6719	26.17
2.3	0.6139	0	9.54
2.35	0.2067	0	20.81
2.4	0.1241	0	10.12
2.45	0.1224	0	11.38
2.5	0.1185	0	7.7
2.55	0.1045	0	7.61
2.6	0.0704	0	3.99
2.65	0.0746	0	4.85
2.7	0.0579	0	2.52
2.75	0.0553	0	2.82
2.8	0.0541	0	2.75
2.85	0.0525	0	1.96
2.9	0.0435	0	1.5
2.95	0.046	0	1.61
3	0.0424	0	1.49
3.05	0.0408	0	1.28
3.1	0.039	0	1.1
3.15	0.0386	0	1.12
3.2	0.036	0	0.98
3.25	0.0324	0	0.75
3.3	0.0368	0	0.95
3.35	0.0328	0	0.77
3.4	0.0318	0	0.7
