platform	test	opt	run	mem_mib	wall_s	first_out_s	start_s	done_s	result
linux	selfcheck	o0	1	512	14.093091514	0.0265	0.0265	14.0843	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
linux	selfcheck	o2	1	512	12.993303656	0.0278	0.0278	12.9848	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o0	1	512	15.549428717	0.2663	0.2695	14.3837	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o2	1	512	14.546583505	0.2568	0.2603	13.3249	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
baremetal	selfcheck	bm	1	512	52.637223554	0.0143	0.0305	51.8502	SELFCHECK_DONE iters=20000000 mismatches=1393 rate=6.965e-05 first_bad=5831112050361398827 at_iter=8152
linux	selfcheck	o0	2	512	14.064138751	0.0268	0.0268	14.0584	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
linux	selfcheck	o2	2	512	12.849346775	0.0120	0.0120	12.8414	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o0	2	512	15.549539174	0.3127	0.3163	14.3704	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o2	2	512	14.540751417	0.2747	0.2785	13.1852	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
baremetal	selfcheck	bm	2	512	52.632049305	0.0211	0.0376	51.5572	SELFCHECK_DONE iters=20000000 mismatches=1399 rate=6.995e-05 first_bad=14318533858486360743 at_iter=18498
linux	selfcheck	o0	3	512	14.031796644	0.0316	0.0316	14.0233	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
linux	selfcheck	o2	3	512	12.871502119	0.0119	0.0119	12.8618	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o0	3	512	15.545205308	0.2359	0.2396	14.2883	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o2	3	512	14.546336964	0.2069	0.2099	13.1191	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
baremetal	selfcheck	bm	3	512	52.636952046	0.0271	0.0421	51.7266	SELFCHECK_DONE iters=20000000 mismatches=1324 rate=6.620e-05 first_bad=1374985782301139114 at_iter=2671
linux	selfcheck	o0	4	512	13.973222865	0.0128	0.0128	13.9656	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
linux	selfcheck	o2	4	512	12.878044734	0.0113	0.0113	12.8722	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o0	4	512	15.545850088	0.2236	0.2276	14.2837	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
nanos	selfcheck	o2	4	512	14.544678481	0.3090	0.3124	13.2386	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
baremetal	selfcheck	bm	4	512	52.636501800	0.0136	0.0270	51.7543	SELFCHECK_DONE iters=20000000 mismatches=1361 rate=6.805e-05 first_bad=11392151372320601537 at_iter=4686
linux	selfcheck	o0	5	512	14.039529007	0.0276	0.0276	14.0333	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
linux	selfcheck	o2	5	512	12.859899879	0.0122	0.0122	12.8548	SELFCHECK_DONE iters=20000000 mismatches=0 rate=0.000e+00 first_bad=0 at_iter=0
